RENT_STATION_NAME,06~09,09~12,12~15,15~18,18~21,기타
가락1동_039_1,50,24,43,61,92,46
가락1동_040_1,31,3,8,18,6,10
가락1동_048_1,34,10,6,17,40,13
가락1동_048_2,8,8,2,0,6,0
가락1동_048_3,14,15,37,27,53,22
가락1동_048_4,6,6,6,4,2,2
가락1동_048_5,46,11,14,9,13,23
가락1동_048_6,17,15,9,10,8,9
가락1동_048_7,20,8,15,16,41,30
가락2동_002_1,16,5,8,7,12,8
가락2동_007_1,22,12,14,6,38,16
가락2동_008_1,4,9,8,10,7,14
가락2동_018_1,10,2,4,14,8,14
가락2동_049_1,8,7,7,3,13,10
가락2동_061_1,18,8,12,26,24,14
가락본동_001_1,20,8,4,12,14,2
가락본동_002_1,7,14,25,26,45,9
가락본동_002_2,14,23,23,20,45,29
가락본동_007_1,14,8,6,2,16,14
가락본동_023_1,13,5,4,8,19,19
가락본동_028_1,4,6,4,14,29,13
가락본동_038_1,19,4,12,20,24,19
가락본동_043_1,20,24,15,20,21,18
가락본동_044_1,13,7,5,11,20,24
가리봉동_001_1,35,9,4,10,34,22
가산동_003_1,4,3,5,19,43,10
가산동_003_2,12,3,4,5,15,11
가산동_003_3,0,3,3,3,22,3
가산동_003_4,91,61,24,73,172,21
가산동_003_5,7,6,5,13,16,15
가산동_004_1,73,26,20,57,80,10
가산동_004_2,1,5,6,19,47,2
가산동_004_3,15,14,17,13,11,8
가산동_004_4,4,4,6,37,49,4
가산동_004_5,37,17,6,18,39,15
가산동_004_6,0,8,10,41,27,4
가산동_004_7,13,10,5,39,55,2
가산동_004_8,18,4,6,16,22,2
가산동_005_1,2,6,8,25,73,6
가산동_005_2,28,15,6,26,37,6
가산동_006_1,21,4,4,20,38,3
가산동_007_1,7,3,9,58,77,4
가산동_010_1,19,23,20,9,33,12
가산동_017_1,52,4,13,7,22,22
가산동_019_1,23,15,4,30,14,4
가산동_019_2,0,3,5,30,42,6
가산동_019_3,27,9,6,10,31,7
가산동_022_1,27,3,8,15,16,17
가산동_028_1,13,1,4,5,23,20
