년,월,계,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,기타
2017,소계," 5,031,039 "," 128,535 "," 79,361 "," 31,969 "," 116,730 "," 108,948 "," 303,005 "," 83,563 "," 34,666 "," 89,262 "," 20,798 "," 242,594 "," 100,615 "," 782,544 "," 294,943 "," 142,787 "," 378,012 "," 75,552 "," 161,489 "," 75,184 "," 650,295 "," 137,720 "," 185,616 "," 488,287 "," 245,149 "," 73,415 ",
2017,1월," 84,149 ",,,,,," 5,023 ",,,,," 5,636 ", 177 ," 17,340 "," 6,453 ",," 7,810 ",,," 1,296 "," 14,160 "," 2,327 "," 4,002 "," 13,556 "," 6,369 ",,
2017,2월," 85,752 ",,,,,," 5,119 ",,,,," 5,426 ", 191 ," 17,998 "," 7,086 ",," 7,754 ",,," 1,268 "," 14,439 "," 2,814 "," 3,783 "," 13,370 "," 6,504 ",,
2017,3월," 188,767 ",,,,,," 12,678 ",,,,," 11,950 ", 383 ," 41,283 "," 15,395 ",," 17,554 ",,," 3,035 "," 32,115 "," 6,787 "," 8,454 "," 26,812 "," 12,321 ",,
2017,4월," 319,181 ",, 760 ,, 709 ,," 22,757 ",,,,," 19,393 ", 573 ," 69,200 "," 25,197 ",," 30,003 ",,," 5,476 "," 58,943 "," 11,354 "," 15,953 "," 40,142 "," 18,721 ",,
2017,5월," 451,223 ",," 7,498 ", 685 ," 10,660 ",," 31,646 ", 176 , 132 ," 4,108 ", 970 ," 26,631 ", 658 ," 90,537 "," 33,253 ",," 40,678 "," 1,508 "," 5,855 "," 7,885 "," 70,038 "," 15,959 "," 21,332 "," 52,644 "," 25,720 "," 2,650 ",
2017,6월," 536,707 "," 2,615 "," 9,710 "," 2,644 "," 14,977 "," 5,932 "," 33,811 "," 7,849 "," 2,818 "," 8,454 "," 1,933 "," 29,115 "," 4,801 "," 96,371 "," 35,143 "," 5,608 "," 44,565 "," 3,960 "," 9,022 "," 9,362 "," 77,089 "," 17,152 "," 23,120 "," 56,024 "," 28,512 "," 6,120 ",
2017,7월," 388,665 "," 8,333 "," 6,692 "," 2,296 "," 10,096 "," 8,011 "," 21,830 "," 7,351 "," 2,596 "," 5,884 "," 1,838 "," 18,423 "," 7,305 "," 62,785 "," 23,919 "," 10,984 "," 29,479 "," 5,475 "," 8,394 "," 5,804 "," 52,107 "," 10,112 "," 15,311 "," 38,878 "," 19,453 "," 5,309 ",
2017,8월," 540,559 "," 16,832 "," 9,250 "," 3,622 "," 14,448 "," 14,359 "," 30,438 "," 10,979 "," 4,278 "," 9,354 "," 2,587 "," 24,208 "," 14,106 "," 77,623 "," 28,334 "," 20,935 "," 38,608 "," 8,902 "," 16,924 "," 7,497 "," 69,129 "," 13,952 "," 19,344 "," 49,947 "," 25,617 "," 9,286 ",
2017,9월," 889,877 "," 35,588 "," 15,445 "," 7,628 "," 24,248 "," 27,876 "," 51,387 "," 20,026 "," 7,730 "," 21,854 "," 5,059 "," 37,521 "," 27,583 "," 115,734 "," 43,394 "," 37,995 "," 60,468 "," 20,247 "," 41,379 "," 12,026 "," 101,891 "," 22,982 "," 27,526 "," 70,150 "," 36,271 "," 17,869 ",
2017,10월," 863,105 "," 37,284 "," 16,641 "," 8,207 "," 25,103 "," 30,540 "," 48,207 "," 21,054 "," 8,975 "," 24,113 "," 5,411 "," 34,804 "," 26,873 "," 107,984 "," 40,820 "," 38,367 "," 55,825 "," 20,094 "," 47,812 "," 12,235 "," 88,701 "," 21,398 "," 26,340 "," 64,369 "," 33,214 "," 18,734 ",
2017,11월," 482,618 "," 20,198 "," 9,100 "," 4,855 "," 11,810 "," 16,122 "," 28,028 "," 11,282 "," 5,535 "," 11,423 "," 2,103 "," 20,892 "," 13,139 "," 60,043 "," 25,114 "," 20,634 "," 32,028 "," 10,838 "," 23,012 "," 6,683 "," 50,572 "," 9,250 "," 14,191 "," 43,086 "," 22,887 "," 9,793 ",
2017,12월," 200,436 "," 7,685 "," 4,265 "," 2,032 "," 4,679 "," 6,108 "," 12,081 "," 4,846 "," 2,602 "," 4,072 ", 897 ," 8,595 "," 4,826 "," 25,646 "," 10,835 "," 8,264 "," 13,240 "," 4,528 "," 9,091 "," 2,617 "," 21,111 "," 3,633 "," 6,260 "," 19,309 "," 9,560 "," 3,654 ",
2018,소계," 10,061,684 "," 427,050 "," 327,554 "," 167,753 "," 381,050 "," 366,488 "," 636,660 "," 335,908 "," 132,449 "," 429,336 "," 114,179 "," 357,571 "," 278,541 "," 921,837 "," 368,241 "," 449,316 "," 556,399 "," 315,564 "," 698,292 "," 251,325 "," 902,910 "," 223,344 "," 300,827 "," 570,470 "," 295,076 "," 253,544 ",
2018,1월," 164,365 "," 6,376 "," 3,511 "," 1,939 "," 3,708 "," 5,049 "," 9,608 "," 4,011 "," 2,245 "," 3,384 ", 824 ," 6,844 "," 3,632 "," 20,186 "," 8,656 "," 7,146 "," 11,088 "," 4,043 "," 7,046 "," 2,179 "," 17,420 "," 2,916 "," 4,997 "," 16,287 "," 8,310 "," 2,960 ",
2018,2월," 168,738 "," 6,623 "," 3,698 "," 2,049 "," 3,862 "," 5,055 "," 10,063 "," 4,389 "," 2,103 "," 3,803 "," 1,096 "," 6,630 "," 4,004 "," 20,137 "," 8,587 "," 7,392 "," 11,170 "," 4,362 "," 7,762 "," 2,591 "," 17,560 "," 3,305 "," 5,010 "," 15,916 "," 8,263 "," 3,308 ",
2018,3월," 462,644 "," 17,806 "," 11,466 "," 6,159 "," 10,607 "," 14,103 "," 30,664 "," 12,631 "," 5,091 "," 14,342 "," 3,858 "," 17,835 "," 11,617 "," 52,994 "," 21,411 "," 20,307 "," 30,181 "," 13,779 "," 26,122 "," 8,694 "," 45,864 "," 9,515 "," 13,913 "," 35,082 "," 18,475 "," 10,128 ",
2018,4월," 668,614 "," 24,904 "," 17,086 "," 10,060 "," 18,753 "," 21,508 "," 44,939 "," 20,134 "," 7,746 "," 25,515 "," 5,762 "," 24,430 "," 17,237 "," 70,994 "," 27,121 "," 30,126 "," 42,550 "," 19,468 "," 39,644 "," 13,784 "," 68,902 "," 15,156 "," 20,962 "," 43,097 "," 22,681 "," 16,055 ",
2018,5월," 929,170 "," 35,393 "," 27,455 "," 14,335 "," 32,941 "," 32,126 "," 61,850 "," 30,004 "," 10,429 "," 38,710 "," 9,470 "," 32,319 "," 25,466 "," 91,420 "," 34,940 "," 40,813 "," 56,775 "," 28,184 "," 64,912 "," 21,343 "," 89,255 "," 22,474 "," 27,670 "," 51,716 "," 25,861 "," 23,309 ",
2018,6월," 1,207,120 "," 49,720 "," 40,050 "," 20,847 "," 47,513 "," 46,788 "," 76,512 "," 41,887 "," 15,175 "," 50,808 "," 14,428 "," 41,767 "," 34,833 "," 109,335 "," 44,268 "," 55,164 "," 67,039 "," 37,331 "," 86,192 "," 29,470 "," 104,456 "," 29,209 "," 36,536 "," 63,313 "," 32,762 "," 31,717 ",
2018,7월," 1,100,045 "," 44,569 "," 37,224 "," 19,075 "," 46,135 "," 43,074 "," 67,797 "," 38,241 "," 15,427 "," 47,547 "," 12,860 "," 37,932 "," 31,677 "," 100,197 "," 40,662 "," 49,202 "," 58,910 "," 34,001 "," 73,038 "," 28,020 "," 96,991 "," 23,992 "," 32,972 "," 60,186 "," 30,860 "," 29,456 ",
2018,8월," 1,037,533 "," 45,297 "," 35,329 "," 18,107 "," 42,589 "," 38,922 "," 65,472 "," 35,792 "," 14,054 "," 45,979 "," 12,351 "," 35,934 "," 29,397 "," 94,062 "," 37,759 "," 44,681 "," 55,595 "," 31,582 "," 67,379 "," 26,933 "," 92,073 "," 22,937 "," 31,955 "," 58,279 "," 28,199 "," 26,876 ",
2018,9월," 1,440,828 "," 64,321 "," 51,314 "," 26,066 "," 56,717 "," 51,165 "," 92,269 "," 47,070 "," 17,988 "," 66,390 "," 17,619 "," 49,055 "," 43,069 "," 128,190 "," 46,709 "," 68,095 "," 76,707 "," 45,217 "," 108,869 "," 37,772 "," 127,467 "," 33,893 "," 42,407 "," 70,006 "," 35,380 "," 37,073 ",
2018,10월," 1,420,285 "," 67,512 "," 50,926 "," 24,650 "," 57,550 "," 53,419 "," 86,811 "," 50,246 "," 19,813 "," 63,991 "," 16,901 "," 49,591 "," 40,107 "," 120,878 "," 46,277 "," 64,969 "," 72,187 "," 45,162 "," 111,763 "," 39,329 "," 121,764 "," 31,694 "," 40,482 "," 71,299 "," 37,665 "," 35,299 ",
2018,11월," 961,528 "," 43,730 "," 32,676 "," 16,249 "," 39,350 "," 35,988 "," 59,942 "," 34,065 "," 14,457 "," 45,054 "," 12,287 "," 36,389 "," 25,193 "," 74,563 "," 33,076 "," 40,882 "," 48,873 "," 34,653 "," 71,230 "," 26,614 "," 79,583 "," 18,890 "," 27,853 "," 55,054 "," 30,312 "," 24,565 ",
